127.0.0.1 - - [19/Mar/2015:16:15:50 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/ HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/css/clnr.css;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 14104
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/css/billling.css;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/css/login.css;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zuljsp.js;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zk.wpd;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 109522
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:52 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:53 +0530] "GET /inventoryweb/zkau/web/d1e20db4/zul/css/zk.wcs;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 21738
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:53 +0530] "GET /inventoryweb/images/clnr/favicon.ico;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:53 +0530] "GET /inventoryweb/images/crestel_progressbox.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:53 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.wnd.wpd;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 11579
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:53 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.inp.wpd;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 18921
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:53 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zk.fmt.wpd;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/box_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/css/billling.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/elitecore-product.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/loginbox_left_bot.jpg;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/loginbox_right_bot.jpg;jsessionid=C55F1B4D9E9510F4BE1CF80CA7AE1B8D HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/sitra-biglogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/box_bot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/loginbox_left.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/loginbox_sep.jpg HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/loginbox_right_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/loginbox_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2015:16:15:54 +0530] "GET /inventoryweb/images/top_left.jpg HTTP/1.1" 304 -
