127.0.0.1 - - [30/Mar/2015:10:52:50 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/ HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/css/clnr.css;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 14104
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/css/login.css;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/css/billling.css;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zuljsp.js;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:51 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zk.wpd;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 109522
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/zkau/web/d1e20db4/zul/css/zk.wcs;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 21738
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/clnr/favicon.ico;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.wnd.wpd;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 11579
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/crestel_progressbox.gif HTTP/1.1" 200 4594
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.inp.wpd;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 18921
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zk.fmt.wpd;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/elitecore-product.jpg HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/top_left.jpg HTTP/1.1" 200 20070
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/css/billling.css HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/box_top.jpg HTTP/1.1" 200 4779
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/loginbox_sep.jpg HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/sitra-biglogo.jpg HTTP/1.1" 200 42753
0:0:0:0:0:0:0:1 - - [30/Mar/2015:10:52:52 +0530] "GET /inventoryweb/images/loginbox_left_bot.jpg;jsessionid=902C02E6EC22D9EB39247B6E5470CF4A HTTP/1.1" 200 3758
