127.0.0.1 - - [31/Mar/2015:18:52:30 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:31 +0530] "GET /inventoryweb/ HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:32 +0530] "GET /inventoryweb/css/clnr.css HTTP/1.1" 200 14104
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:32 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:32 +0530] "GET /inventoryweb/css/login.css HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:33 +0530] "GET /inventoryweb/images/clnr/favicon.ico HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:33 +0530] "GET /inventoryweb/images/loginbox_right_bot.jpg HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:33 +0530] "GET /inventoryweb/images/loginbox_left_bot.jpg HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:38 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:39 +0530] "GET /inventoryweb/module/user-home.zul HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:39 +0530] "GET /inventoryweb/zkau?dtid=z_ryh&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:39 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:46 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:49 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:51 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:52 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:52 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:52:54 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:53:19 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [31/Mar/2015:18:53:20 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 159
