127.0.0.1 - - [18/Mar/2015:16:28:53 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:49 +0530] "GET /inventoryweb/ HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:49 +0530] "GET /inventoryweb/css/clnr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:49 +0530] "GET /inventoryweb/css/billling.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:49 +0530] "GET /inventoryweb/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:49 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zuljsp.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:50 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:50 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zk.wpd HTTP/1.1" 200 109522
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:50 +0530] "GET /inventoryweb/zkau/web/d1e20db4/zul/css/zk.wcs HTTP/1.1" 200 21738
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/crestel_progressbox.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.wnd.wpd HTTP/1.1" 200 11579
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.inp.wpd HTTP/1.1" 200 18921
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zk.fmt.wpd HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/top_left.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/box_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/sitra-biglogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/box_bot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/elitecore-product.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/loginbox_left_bot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/loginbox_sep.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/loginbox_right_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:16:29:51 +0530] "GET /inventoryweb/images/loginbox_top.jpg HTTP/1.1" 304 -
